"Time [us]","Current(p1) [A]","Current(s1) [A]","Current(s2) [A]","Current(s3) [A]","Current(s1)+Current(s2)+Current(s3) [A]"
1.51,-0.0627905195293127,1.10993496594496,0.0980807612270755,0.323612602923925,1.53162833009596
1.52,-0.125333233564303,1.1212367727425,0.158982473480198,0.329393139627044,1.60961238584974
1.53,-0.187381314585723,1.12810879208674,0.219257062803031,0.333878928171565,1.68124478306134
1.54,-0.248689887164855,1.13052378535616,0.278666860322896,0.337052138759745,1.7462427844388
1.55,-0.309016994374947,1.12847210482489,0.336977609819277,0.338900123044686,1.80434983768885
1.56,-0.368124552684677,1.12196173222577,0.393959391270489,0.339415464071935,1.85533658756819
1.56999999999999,-0.425779291565015,1.11101824745891,0.449387529491679,0.338596005675208,1.8990017826258
1.57999999999999,-0.481753674101659,1.09568472705779,0.503043479538656,0.336444860624997,1.93517306722144
1.58999999999999,-0.535826794978943,1.07602157419493,0.554715689615572,0.33297039841767,1.96370766222817
1.59999999999999,-0.587785252292421,1.05210628055385,0.604200436268755,0.328186212620029,1.98449292944263
1.60999999999999,-0.637423989748641,1.02403312038547,0.65130262800625,0.322111066701676,1.9974468150934
1.61999999999999,-0.684547105928643,0.991912777725281,0.69583657488451,0.314768820020214,2.00251817263
1.62999999999999,-0.728968627421368,0.95587191083326,0.737626722301324,0.30618833410728,1.99968696724186
1.63999999999999,-0.770513242775748,0.916052651447553,0.776508342600656,0.296403358148669,1.98896435219688
1.64999999999999,-0.80901699437491,0.872612043577109,0.812328186297243,0.285452396217594,1.97039262609195
1.65999999999999,-0.844327925501981,0.82572142440392,0.844945085444073,0.273378554942155,1.94404506479015
1.66999999999999,-0.876306680043833,0.775565747759174,0.874230512340375,0.260229373726548,1.9100256338261
1.67999999999999,-0.904827052465992,0.722342854044831,0.900069085551956,0.246056636990049,1.86846857658684
1.68999999999999,-0.929776485888228,0.666262689556502,0.922359025847981,0.230916169394294,1.81953788479878
1.69999999999999,-0.951056516295134,0.607546477913044,0.941012557453814,0.214867616324886,1.76342665169174
1.70999999999999,-0.968583161128615,0.546425846753788,0.955956254820235,0.197974207787104,1.70035630936113
1.71999999999999,-0.982287250728677,0.483141914467143,0.967131332086097,0.180302509013545,1.63057575556679
1.72999999999999,-0.99211470131447,0.417944337064164,0.974493875310906,0.161922158020882,1.55436037039595
1.73999999999999,-0.998026728428268,0.351090324108462,0.978015015523468,0.142905590488832,1.47201093012076
1.74999999999999,-1,0.282843623062642,0.977681042700856,0.123327753914842,1.38385241967834
1.75999999999999,-0.998026728428276,0.213473478835627,0.973493460148241,0.103265811907586,1.29023275089145
1.76999999999999,-0.992114701314486,0.143253570769214,0.965468978102334,0.0827988397162428,1.19152138858779
1.77999999999999,-0.982287250728701,0.0724609325120691,0.953639448031532,0.0620075118928638,1.08810789243646
1.78999999999999,-0.968583161128647,0.00137485921254754,0.93805173678649,0.0409737840253269,0.980400380024364
1.79999999999999,-0.951056516295174,-0.0697241955907213,0.918767541945969,0.0197805695670287,0.868823915922276
1.80999999999999,-0.929776485888275,-0.140555725958017,0.895863147941599,-0.00148858803687174,0.75381883394671
1.81999999999999,-0.904827052466046,-0.2108402810631,0.869429124963836,-0.022749844381478,0.635838999519258
1.82999999999999,-0.876306680043894,-0.280300567958408,0.839569971999298,-0.0439193854511779,0.515350018589712
1.83999999999999,-0.844327925502049,-0.348662545804266,0.806403703956238,-0.0649137582199807,0.392827399931991
1.84999999999999,-0.809016994374985,-0.415656507650773,0.770061385954746,-0.0856502000608673,0.268754678243106
1.85999999999999,-0.770513242775829,-0.481018144630754,0.73068661625289,-0.106046965399126,0.14362150622301
1.86999999999999,-0.728968627421455,-0.544489589203042,0.688434959457457,-0.126023648288042,0.017921721966373
1.87999999999999,-0.684547105928735,-0.60582043276553,0.643473332526267,-0.145501499737676,-0.107848599976939
1.88999999999999,-0.637423989748739,-0.664768713886224,0.595979345995452,-0.164403738581608,-0.23319310647238
1.89999999999999,-0.587785252292524,-0.721101873329186,0.546140603151229,-0.182655854421785,-0.357617124599742
1.90999999999999,-0.53582679497905,-0.774597671736692,0.494153959544344,-0.200185901732756,-0.480629613925104
1.91999999999999,-0.481753674101771,-0.825045066871539,0.440224746104787,-0.216924783846715,-0.601745104613467
1.92999999999999,-0.42577929156513,-0.872245046338952,0.384565958848323,-0.232806525557437,-0.720485613048066
